PERMNO,date,TICKER,RET,RETX
21936,29-03-2018,PFE,-0.022583,-0.022583
21936,30-04-2018,PFE,0.031558,0.031558
21936,31-05-2018,PFE,-0.009287,-0.018574
21936,29-06-2018,PFE,0.009741,0.009741
21936,31-07-2018,PFE,0.100606,0.100606
21936,31-08-2018,PFE,0.048335,0.03982
21936,28-09-2018,PFE,0.061416,0.061416
21936,31-10-2018,PFE,-0.022918,-0.022918
21936,30-11-2018,PFE,0.081514,0.073618
21936,31-12-2018,PFE,-0.055808,-0.055808
21936,31-01-2019,PFE,-0.019244,-0.027491
21936,28-02-2019,PFE,0.021201,0.021201
21936,29-03-2019,PFE,-0.0203,-0.0203
21936,30-04-2019,PFE,-0.043796,-0.043796
21936,31-05-2019,PFE,0.031273,0.022408
21936,28-06-2019,PFE,0.043353,0.043353
21936,31-07-2019,PFE,-0.103416,-0.103416
21936,30-08-2019,PFE,-0.075438,-0.084707
21936,30-09-2019,PFE,0.010689,0.010689
21936,31-10-2019,PFE,0.06791,0.06791
21936,29-11-2019,PFE,0.013292,0.003909
21936,31-12-2019,PFE,0.017134,0.017134
21936,31-01-2020,PFE,-0.039816,-0.049515
21936,28-02-2020,PFE,-0.102578,-0.102578
21936,31-03-2020,PFE,-0.023339,-0.023339
21936,30-04-2020,PFE,0.175245,0.175245
21936,29-05-2020,PFE,0.005474,-0.004432
21936,30-06-2020,PFE,-0.143755,-0.143755
21936,31-07-2020,PFE,0.188379,0.176758
21936,31-08-2020,PFE,-0.017931,-0.017931
21936,30-09-2020,PFE,-0.028844,-0.028844
21936,30-10-2020,PFE,-0.033243,-0.033243
21936,30-11-2020,PFE,0.140506,0.140506
21936,31-12-2020,PFE,-0.039154,-0.039154
21936,29-01-2021,PFE,-0.014127,-0.024722
21936,26-02-2021,PFE,-0.067131,-0.067131
21936,31-03-2021,PFE,0.081815,0.081815
21936,30-04-2021,PFE,0.066796,0.066796
21936,28-05-2021,PFE,0.01216,0.00207
21936,30-06-2021,PFE,0.011103,0.011103
21936,30-07-2021,PFE,0.103167,0.093207
21936,31-08-2021,PFE,0.07615,0.07615
21936,30-09-2021,PFE,-0.066421,-0.066421
21936,29-10-2021,PFE,0.016973,0.016973
21936,30-11-2021,PFE,0.237311,0.228395
21936,31-12-2021,PFE,0.099014,0.099014
21936,31-01-2022,PFE,-0.100931,-0.107705
21936,28-02-2022,PFE,-0.109129,-0.109129
21936,31-03-2022,PFE,0.102897,0.102897
21936,29-04-2022,PFE,-0.052154,-0.052154
21936,31-05-2022,PFE,0.089056,0.080905
21936,30-06-2022,PFE,-0.011501,-0.011501
21936,29-07-2022,PFE,-0.028991,-0.03662
21936,31-08-2022,PFE,-0.104534,-0.104534
21936,30-09-2022,PFE,-0.032501,-0.032501
21936,31-10-2022,PFE,0.063757,0.063757
21936,30-11-2022,PFE,0.0855,0.076907
21936,30-12-2022,PFE,0.022142,0.022142
21936,31-01-2023,PFE,-0.130172,-0.138173
21936,28-02-2023,PFE,-0.081295,-0.081295
21936,31-03-2023,PFE,0.005669,0.005669
21936,28-04-2023,PFE,-0.046814,-0.046814
21936,31-05-2023,PFE,-0.011828,-0.022371
21936,30-06-2023,PFE,-0.035245,-0.035245
21936,31-07-2023,PFE,-0.005725,-0.016903
21936,31-08-2023,PFE,-0.018857,-0.018857
21936,29-09-2023,PFE,-0.062465,-0.062465
21936,31-10-2023,PFE,-0.078686,-0.078686
21936,30-11-2023,PFE,0.010471,-0.002945
21936,29-12-2023,PFE,-0.055136,-0.055136
22111,31-01-2014,JNJ,-0.034065,-0.034065
22111,28-02-2014,JNJ,0.048717,0.041257
22111,31-03-2014,JNJ,0.066327,0.066327
22111,30-04-2014,JNJ,0.031151,0.031151
22111,30-05-2014,JNJ,0.008589,0.001678
22111,30-06-2014,JNJ,0.031145,0.031145
22111,31-07-2014,JNJ,-0.0433,-0.0433
22111,29-08-2014,JNJ,0.043361,0.036367
22111,30-09-2014,JNJ,0.027572,0.027572
22111,31-10-2014,JNJ,0.011164,0.011164
22111,28-11-2014,JNJ,0.010855,0.004361
22111,31-12-2014,JNJ,-0.033995,-0.033995
22111,30-01-2015,JNJ,-0.042364,-0.042364
22111,27-02-2015,JNJ,0.030657,0.023667
22111,31-03-2015,JNJ,-0.018632,-0.018632
22111,30-04-2015,JNJ,-0.013917,-0.013917
22111,29-05-2015,JNJ,0.017036,0.009476
22111,30-06-2015,JNJ,-0.026763,-0.026763
22111,31-07-2015,JNJ,0.028217,0.028217
22111,31-08-2015,JNJ,-0.054685,-0.062169
22111,30-09-2015,JNJ,-0.006704,-0.006704
22111,30-10-2015,JNJ,0.082271,0.082271
22111,30-11-2015,JNJ,0.009502,0.002079
22111,31-12-2015,JNJ,0.014619,0.014619
22111,29-01-2016,JNJ,0.016745,0.016745
22111,29-02-2016,JNJ,0.014554,0.007373
22111,31-03-2016,JNJ,0.028419,0.028419
22111,29-04-2016,JNJ,0.03586,0.03586
22111,31-05-2016,JNJ,0.01258,0.005443
22111,30-06-2016,JNJ,0.076404,0.076404
22111,29-07-2016,JNJ,0.032399,0.032399
22111,31-08-2016,JNJ,-0.040645,-0.047034
22111,30-09-2016,JNJ,-0.010139,-0.010139
22111,31-10-2016,JNJ,-0.018116,-0.018116
22111,30-11-2016,JNJ,-0.033537,-0.040434
22111,30-12-2016,JNJ,0.03513,0.03513
22111,31-01-2017,JNJ,-0.017012,-0.017012
22111,28-02-2017,JNJ,0.086181,0.079117
22111,31-03-2017,JNJ,0.019147,0.019147
22111,28-04-2017,JNJ,-0.008671,-0.008671
22111,31-05-2017,JNJ,0.045517,0.038714
22111,30-06-2017,JNJ,0.031501,0.031501
22111,31-07-2017,JNJ,0.00325,0.00325
22111,31-08-2017,JNJ,0.003692,-0.002637
22111,29-09-2017,JNJ,-0.017829,-0.017829
22111,31-10-2017,JNJ,0.072302,0.072302
22111,30-11-2017,JNJ,0.005452,-0.000574
22111,29-12-2017,JNJ,0.002799,0.002799
22111,31-01-2018,JNJ,-0.01095,-0.01095
22111,28-02-2018,JNJ,-0.054056,-0.060135
22111,29-03-2018,JNJ,-0.01332,-0.01332
22111,30-04-2018,JNJ,-0.012954,-0.012954
22111,31-05-2018,JNJ,-0.047197,-0.054313
22111,29-06-2018,JNJ,0.014379,0.014379
22111,31-07-2018,JNJ,0.092138,0.092138
22111,31-08-2018,JNJ,0.023166,0.016375
22111,28-09-2018,JNJ,0.025837,0.025837
22111,31-10-2018,JNJ,0.013172,0.013172
22111,30-11-2018,JNJ,0.05579,0.049361
22111,31-12-2018,JNJ,-0.121511,-0.121511
22111,31-01-2019,JNJ,0.031228,0.031228
22111,28-02-2019,JNJ,0.033514,0.026751
22111,29-03-2019,JNJ,0.023053,0.023053
22111,30-04-2019,JNJ,0.010087,0.010087
22111,31-05-2019,JNJ,-0.064448,-0.071176
22111,28-06-2019,JNJ,0.06199,0.06199
22111,31-07-2019,JNJ,-0.065049,-0.065049
22111,30-08-2019,JNJ,-0.006988,-0.014284
22111,30-09-2019,JNJ,0.007946,0.007946
22111,31-10-2019,JNJ,0.02056,0.02056
22111,29-11-2019,JNJ,0.04847,0.041275
22111,31-12-2019,JNJ,0.06095,0.06095
22111,31-01-2020,JNJ,0.020566,0.020566
22111,28-02-2020,JNJ,-0.09028,-0.096662
22111,31-03-2020,JNJ,-0.024911,-0.024911
22111,30-04-2020,JNJ,0.144208,0.144208
22111,29-05-2020,JNJ,-0.001866,-0.008598
22111,30-06-2020,JNJ,-0.054588,-0.054588
22111,31-07-2020,JNJ,0.036479,0.036479
22111,31-08-2020,JNJ,0.059413,0.052484
22111,30-09-2020,JNJ,-0.029529,-0.029529
22111,30-10-2020,JNJ,-0.079057,-0.079057
22111,30-11-2020,JNJ,0.062577,0.055211
22111,31-12-2020,JNJ,0.08778,0.08778
22111,29-01-2021,JNJ,0.036536,0.036536
22111,26-02-2021,JNJ,-0.022436,-0.028627
22111,31-03-2021,JNJ,0.03717,0.03717
22111,30-04-2021,JNJ,-0.009857,-0.009857
22111,28-05-2021,JNJ,0.04658,0.040066
22111,30-06-2021,JNJ,-0.026647,-0.026647
22111,30-07-2021,JNJ,0.045283,0.045283
22111,31-08-2021,JNJ,0.011556,0.005401
22111,30-09-2021,JNJ,-0.067175,-0.067175
22111,29-10-2021,JNJ,0.008545,0.008545
22111,30-11-2021,JNJ,-0.036162,-0.04267
22111,31-12-2021,JNJ,0.097095,0.097095
22111,31-01-2022,JNJ,0.007132,0.007132
22111,28-02-2022,JNJ,-0.038656,-0.044808
22111,31-03-2022,JNJ,0.076928,0.076928
22111,29-04-2022,JNJ,0.018225,0.018225
22111,31-05-2022,JNJ,0.001108,-0.005154
22111,30-06-2022,JNJ,-0.011252,-0.011252
22111,29-07-2022,JNJ,-0.016844,-0.016844
22111,31-08-2022,JNJ,-0.069047,-0.075521
22111,30-09-2022,JNJ,0.01252,0.01252
22111,31-10-2022,JNJ,0.064949,0.064949
22111,30-11-2022,JNJ,0.02966,0.023165
22111,30-12-2022,JNJ,-0.007584,-0.007584
22111,31-01-2023,JNJ,-0.074894,-0.074894
22111,28-02-2023,JNJ,-0.055256,-0.062171
22111,31-03-2023,JNJ,0.011353,0.011353
22111,28-04-2023,JNJ,0.056129,0.056129
22111,31-05-2023,JNJ,-0.04551,-0.052779
22111,30-06-2023,JNJ,0.067458,0.067458
22111,31-07-2023,JNJ,0.012144,0.012144
22111,31-08-2023,JNJ,-0.027816,-0.034919
22111,29-09-2023,JNJ,-0.036677,-0.036677
22111,31-10-2023,JNJ,-0.047576,-0.047576
22111,30-11-2023,JNJ,0.050627,0.042605
22111,29-12-2023,JNJ,0.013449,0.013449
24205,31-01-2014,NEE,0.073698,0.073698
24205,28-02-2014,NEE,0.002012,-0.005874
24205,31-03-2014,NEE,0.046285,0.046285
24205,30-04-2014,NEE,0.044238,0.044238
24205,30-05-2014,NEE,-0.017676,-0.024937
24205,30-06-2014,NEE,0.052588,0.052588
24205,31-07-2014,NEE,-0.083821,-0.083821
24205,29-08-2014,NEE,0.056289,0.048567
24205,30-09-2014,NEE,-0.04642,-0.04642
24205,31-10-2014,NEE,0.067533,0.067533
24205,28-11-2014,NEE,0.048843,0.041608
24205,31-12-2014,NEE,0.018201,0.018201
24205,30-01-2015,NEE,0.027754,0.027754
24205,27-02-2015,NEE,-0.045862,-0.052911
24205,31-03-2015,NEE,0.005703,0.005703
24205,30-04-2015,NEE,-0.029986,-0.029986
24205,29-05-2015,NEE,0.021599,0.01397
24205,30-06-2015,NEE,-0.042114,-0.042114
24205,31-07-2015,NEE,0.073141,0.073141
24205,31-08-2015,NEE,-0.057224,-0.064544
24205,30-09-2015,NEE,-0.008739,-0.008739
24205,30-10-2015,NEE,0.052383,0.052383
24205,30-11-2015,NEE,-0.019774,-0.027275
24205,31-12-2015,NEE,0.040356,0.040356
24205,29-01-2016,NEE,0.075272,0.075272
